INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
1,GL1,Gl1_5W,6/28/18,SY,3,1.1,2.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
1,GL1,Gl1_6W,6/28/18,SY,3,3,3.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,12.5,
2,GL1,Gl1_6W,6/28/18,SY,3,3,3.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,12.5,
3,GL1,Gl1_6W,6/28/18,SY,3,3,3.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,14,
4,GL1,Gl1_6W,6/28/18,SY,3,3,3.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,12.5,
1,GL1,Gl1_6W,6/28/18,SY,3,3,3.1,0.7,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
1,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,12.5,
1,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,12.5,
1,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,pupating 
2,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,
3,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,pupating 
4,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
5,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,pupating 
6,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,
7,GL1,Gl1_7W,6/28/18,SY,3,2.1,0.4,3.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,
1,GL4,Gl4_1E,7/3/18,SY,5,2,3,1,4,2.5,SY,7/11/18,SZ51,0.8,ephemerop,ameletidae,ameletus,15.625,pupating 
1,GL4,Gl4_1E,7/3/18,SY,5,2,3,1,4,2.5,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,9.375,
2,GL4,Gl4_1E,7/3/18,SY,5,2,3,1,4,2.5,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,6.25,pupating 
3,GL4,Gl4_1E,7/3/18,SY,5,2,3,1,4,2.5,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,9.375,pupating 
4,GL4,Gl4_1E,7/3/18,SY,5,2,3,1,4,2.5,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,11,
1,GL4,Gl4_2E,7/3/18,SY,5,2,2,3.5,3.7,3,SY,7/11/18,SZ51,0.8,ephemerop,ameletidae,ameletus,3.125,
2,GL4,Gl4_2E,7/3/18,SY,5,2,2,3.5,3.7,3,SY,7/11/18,SZ51,0.8,ephemerop,ameletidae,ameletus,11,
1,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,ephemerop,ameletidae,ameletus,13,
2,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,ephemerop,ameletidae,ameletus,2,
1,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,15.625,
1,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
2,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3.125,
3,GL4,Gl4_3IN,7/3/18,SY,5,2,1.7,2,1.5,0.5,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,6.25,
1,GL4,Gl4_4W,7/3/18,SY,5,0.6,1,0.5,2,3,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,12.5,
2,GL4,Gl4_4W,7/3/18,SY,5,0.6,1,0.5,2,3,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,9.375,
3,GL4,Gl4_4W,7/3/18,SY,5,0.6,1,0.5,2,3,SY,7/11/18,SZ51,0.8,trichop,apataniidae,apatania,9.375,
1,GL4,Gl4_4W,7/3/18,SY,5,0.6,1,0.5,2,3,SY,7/11/18,SZ51,0.8,trichop,leptoceridae,,9.375,
1,GL4,Gl4_5W,7/3/18,SY,5,2,2,2,0.5,0.5,SY,7/11/18,SZ51,0.8,NONE,,,,
1,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
2,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.123,
