INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
61,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
62,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
63,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
64,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
65,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
66,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
67,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
68,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
69,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
70,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
71,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
72,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
73,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
74,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
75,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
76,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
77,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
78,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
79,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,5,
80,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
81,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
82,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
83,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
84,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
85,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,7,
86,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
87,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
88,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
89,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
90,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
91,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
92,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
93,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
94,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
95,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
96,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
97,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
98,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
99,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
100,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
101,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
102,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
103,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
104,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
105,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
107,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
108,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
109,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,7,
110,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
111,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
112,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
113,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
114,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
115,Albion ,Albion_4E,8/2/18,SY,5,2.5,1.2,1.5,2,0.9,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
1,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
2,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
3,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
4,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,7,
5,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
6,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
7,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
8,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
9,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
10,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,5,
11,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
12,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
13,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
14,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
15,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
16,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
17,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
18,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
19,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
20,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
21,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
22,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
23,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
24,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
25,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
26,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
27,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
28,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
29,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
30,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
31,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
32,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
33,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
34,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
35,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
36,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
37,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
38,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
39,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
40,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
41,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
42,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
43,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
44,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
45,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
46,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
47,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
48,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
49,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
50,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
51,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
52,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
53,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
54,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,8,
55,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
56,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
57,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
58,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
59,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
60,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
61,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
62,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
63,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
64,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
65,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
66,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
67,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
68,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
69,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
70,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
71,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
72,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
73,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
74,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
75,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
76,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
77,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
78,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
79,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
80,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
81,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
82,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
83,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
84,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
85,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
86,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
87,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
88,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
89,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
90,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
91,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
92,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
93,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
94,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
95,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
96,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
97,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
98,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
99,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
100,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
101,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
102,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
103,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
104,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
105,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
106,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
107,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
108,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
109,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
110,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
111,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,1,
112,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
113,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
114,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
115,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
116,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
117,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,4,
118,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
119,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,3,
120,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
121,Albion ,Albion_5IN,8/2/18,SY,5,3.5,3.3,0.4,0.5,0.5,SY,8/14/18,SZ51,0.8,diptera,chironomidae,NA,2,
